( 0, 250, 6.4545, 250 )
( 0.001, 250, 30.1303, 250 )
( 0.002, 250, 0.3437, 250 )
( 0.003, 250, 0.1022, 250 )
( 0.004, 250, 5.7349, 250 )
( 0.004, 250, 5.7557, 250 )
( 0.004, 250, 5.7974, 250 )
( 0.004, 250, 5.8807, 250 )
( 0.004, 250, 6.0472, 250 )
( 0.004, 250, 4.3071, 250 )
( 0.004, 250, 7.7672, 250 )
( 0.004, 250, 14.6875, 250 )
( 0.005, 250, 7.183, 250 )
( 0.005, 250, 7.3999, 250 )
( 0.005, 250, 7.8337, 250 )
( 0.005, 250, 8.7012, 250 )
( 0.005, 250, 8.7012, 250 )
( 0.006, 250, 8.1264, 250 )
( 0.006, 250, 8.1264, 250 )
( 0.006, 250, 8.4815, 250 )
( 0.006, 250, 9.1918, 250 )
( 0.006, 250, 9.1918, 250 )
( 250.007, 500, 3.3671, 500 )
( 250.007, 500, 3.3671, 500 )
( 250.007, 500, 3.3671, 500 )
( 250.007, 500, 3.3671, 500 )
( 250.007, 500, 3.3671, 500 )
( 250.008, 250, 3.217, 250 )
( 250.009, 250, 3.5179, 250 )
( 250.010, 250, 3.6363, 250 )
( 250.010, 250, 5.1914, 250 )
( 250.011, 250, 0.1496, 250 )
( 1750.011, 2000, 3.1913, 2000 )
( 1750.011, 2000, 5.1122, 2000 )
( 1750.012, 2000, 0.5047, 2000 )
( 1750.012, 2000, 0.5906, 2000 )
( 5750.012, 6000, 2.4799, 6000 )
( 5750.013, 6000, 0.199, 6000 )
( 5750.013, 6000, 0.6898, 6000 )
